State,County,Metro/Small Town/Rural Status,Percent with SNAP,Percent Margin of Error (±),Population Percentage - Black,Population Percentage - Hispanic/Latino
Florida,Columbia County,Small town,18.50%,1.70%,18.20%,6.40%
California,Del Norte County,Small town,18.50%,2.70%,,
Tennessee,Wayne County,Rural area,18.50%,2.80%,,
Pennsylvania,Cambria County,Metro area,18.50%,0.80%,,
Oregon,Jackson County,Metro area,18.50%,1.00%,,
Oregon,Marion County,Metro area,18.50%,0.80%,,
Arizona,Yuma County,Metro area,18.50%,1.10%,,
West Virginia,Taylor County,Small town,18.50%,3.00%,,
Michigan,Saginaw County,Metro area,18.50%,0.80%,,
Georgia,Cook County,Rural area,18.50%,3.10%,,
Washington,Grant County,Small town,18.50%,1.80%,,
Missouri,Iron County,Rural area,18.50%,2.70%,,
Oklahoma,Tillman County,Rural area,18.50%,3.40%,,
Michigan,Gladwin County,Rural area,18.40%,1.50%,,
New Mexico,Curry County,Small town,18.40%,1.50%,,
Louisiana,Allen Parish,Rural area,18.40%,2.40%,,
Oregon,Lake County,Rural area,18.40%,4.10%,,
Ohio,Athens County,Small town,18.40%,1.20%,,
Missouri,Henry County,Rural area,18.40%,2.80%,,
Oklahoma,Ottawa County,Small town,18.40%,0.90%,,
Ohio,Marion County,Small town,18.40%,1.60%,,
Georgia,Newton County,Metro area,18.40%,2.00%,,
Georgia,Clinch County,Rural area,18.40%,4.80%,,
Oregon,Gilliam County,Rural area,18.40%,5.30%,,
Illinois,Macon County,Metro area,18.40%,1.10%,,
Colorado,Pueblo County,Metro area,18.40%,0.90%,,
Louisiana,St. Bernard Parish,Metro area,18.40%,2.20%,,
Mississippi,Lawrence County,Rural area,18.40%,3.40%,,
Ohio,Highland County,Rural area,18.40%,1.80%,,
Ohio,Lucas County,Metro area,18.30%,0.60%,,
Missouri,Ozark County,Rural area,18.30%,3.60%,,
Louisiana,La Salle Parish,Rural area,18.30%,4.90%,,
Georgia,Twiggs County,Metro area,18.30%,5.00%,,
Ohio,Ashtabula County,Small town,18.30%,1.20%,,
Kentucky,Marion County,Rural area,18.30%,3.00%,,
Illinois,Stephenson County,Small town,18.30%,1.70%,,
Mississippi,Wayne County,Rural area,18.20%,3.60%,,
New York,Montgomery County,Small town,18.20%,1.70%,,
Georgia,Lowndes County,Metro area,18.20%,1.50%,,
Georgia,Tattnall County,Rural area,18.20%,3.20%,,
Pennsylvania,Erie County,Metro area,18.20%,0.70%,,
Tennessee,Claiborne County,Rural area,18.20%,2.10%,,
Idaho,Shoshone County,Rural area,18.20%,3.10%,,
Missouri,Reynolds County,Rural area,18.20%,3.90%,,
Missouri,Oregon County,Rural area,18.20%,3.30%,,
Arkansas,Poinsett County,Metro area,18.20%,2.10%,,
Arkansas,Columbia County,Small town,18.10%,2.50%,,
Florida,Gilchrist County,Metro area,18.10%,3.20%,,
Alabama,Lamar County,Rural area,18.10%,3.40%,,
Illinois,Jefferson County,Small town,18.10%,1.60%,,
Missouri,Madison County,Rural area,18.10%,3.70%,,
Kentucky,Grayson County,Rural area,18.10%,2.50%,,
Tennessee,Jackson County,Small town,18.10%,3.70%,,
Alabama,DeKalb County,Small town,18.10%,1.70%,,
Florida,Jackson County,Rural area,18.10%,2.50%,26.60%,4.90%
Tennessee,Warren County,Small town,18.10%,1.90%,,
Illinois,Perry County,Rural area,18.10%,2.70%,,
Kentucky,Wayne County,Rural area,18.10%,2.80%,,
Tennessee,Carroll County,Rural area,18.10%,2.10%,,
Illinois,Massac County,Small town,18.10%,2.80%,,
Mississippi,Stone County,Rural area,18.00%,4.50%,,
Illinois,Winnebago County,Metro area,18.00%,0.70%,,
Washington,Klickitat County,Rural area,18.00%,3.20%,,
North Carolina,Wayne County,Metro area,18.00%,1.20%,,
Louisiana,St. Mary Parish,Small town,18.00%,2.00%,,
Oregon,Union County,Small town,18.00%,1.70%,,
Texas,Lynn County,Metro area,18.00%,3.70%,,
Alaska,Prince of Wales-Hyder Census Area,Rural area,18.00%,2.40%,,
Georgia,Coffee County,Small town,18.00%,2.40%,,
Indiana,Fayette County,Small town,18.00%,2.20%,,
South Carolina,Florence County,Metro area,18.00%,1.10%,,
Georgia,Muscogee County,Metro area,18.00%,0.80%,,
New Mexico,San Juan County,Metro area,17.90%,1.20%,,
Texas,Gonzales County,Rural area,17.90%,2.30%,,
Oklahoma,Mayes County,Rural area,17.90%,1.50%,,
Kentucky,Green County,Rural area,17.90%,2.80%,,
Oregon,Wallowa County,Rural area,17.90%,3.40%,,
Florida,Bradford County,Rural area,17.80%,3.00%,20.40%,4.30%
Tennessee,Dyer County,Small town,17.80%,2.60%,,
Oklahoma,Johnston County,Rural area,17.80%,2.60%,,
Georgia,Haralson County,Metro area,17.80%,3.10%,,
Georgia,Polk County,Small town,17.80%,2.20%,,
Georgia,Ben Hill County,Small town,17.80%,3.50%,,
Kentucky,Robertson County,Rural area,17.80%,5.00%,,
Illinois,Mason County,Rural area,17.80%,2.10%,,
Illinois,Clay County,Rural area,17.70%,3.40%,,
Georgia,Wilkes County,Rural area,17.70%,4.00%,,
South Carolina,Chesterfield County,Rural area,17.70%,2.50%,,
North Carolina,Rutherford County,Small town,17.70%,2.00%,,
Pennsylvania,Greene County,Rural area,17.70%,2.00%,,
Virginia,Charlotte County,Rural area,17.70%,3.00%,,
Alabama,Dale County,Small town,17.70%,1.70%,,
Florida,Levy County,Rural area,17.70%,1.70%,8.30%,8.60%
Ohio,Fayette County,Small town,17.70%,2.20%,,
North Carolina,Alleghany County,Rural area,17.70%,3.50%,,
Oregon,Baker County,Rural area,17.70%,2.70%,,
Louisiana,St. Landry Parish,Small town,17.60%,1.60%,,
Tennessee,Henry County,Small town,17.60%,2.40%,,
Louisiana,Caddo Parish,Metro area,17.60%,0.90%,,
Illinois,Knox County,Small town,17.60%,1.40%,,
Texas,Kleberg County,Small town,17.60%,3.00%,,
Colorado,Otero County,Rural area,17.60%,2.40%,,
Oklahoma,Latimer County,Rural area,17.50%,2.60%,,
Ohio,Guernsey County,Small town,17.50%,1.70%,,
Tennessee,Hardeman County,Rural area,17.50%,2.60%,,
Virginia,Roanoke city,Metro area,17.50%,1.40%,,
North Carolina,Hoke County,Metro area,17.50%,1.70%,,
Georgia,Chattooga County,Small town,17.50%,2.50%,,
Mississippi,Montgomery County,Rural area,17.50%,4.50%,,
Ohio,Cuyahoga County,Metro area,17.50%,0.30%,,
Tennessee,Crockett County,Metro area,17.50%,2.80%,,
Missouri,Howell County,Small town,17.50%,2.00%,,
Alabama,Clarke County,Rural area,17.40%,2.50%,,
Iowa,Wapello County,Small town,17.40%,1.50%,,
South Carolina,Sumter County,Metro area,17.40%,1.40%,,
Louisiana,Caldwell Parish,Rural area,17.40%,3.50%,,
Pennsylvania,Luzerne County,Metro area,17.40%,0.70%,,
Georgia,Wilkinson County,Rural area,17.40%,2.80%,,
Texas,Shelby County,Rural area,17.40%,3.60%,,
Louisiana,Ouachita Parish,Metro area,17.40%,1.00%,,
North Carolina,Cleveland County,Small town,17.40%,1.20%,,
Tennessee,Hawkins County,Metro area,17.40%,1.50%,,
Ohio,Clark County,Metro area,17.40%,1.00%,,
Mississippi,Jasper County,Small town,17.40%,4.00%,,
Texas,Jim Wells County,Small town,17.40%,2.60%,,
Louisiana,Orleans Parish,Metro area,17.40%,0.50%,,
Georgia,Spalding County,Metro area,17.40%,2.10%,,
Mississippi,Hinds County,Metro area,17.30%,0.90%,,
Texas,Robertson County,Metro area,17.30%,3.50%,,
Missouri,Texas County,Rural area,17.30%,2.80%,,
Texas,Newton County,Metro area,17.30%,3.70%,,
New York,Clinton County,Small town,17.30%,1.40%,,
Tennessee,Carter County,Metro area,17.30%,1.60%,,
West Virginia,Monroe County,Rural area,17.30%,3.30%,,
Louisiana,St. John the Baptist Parish,Metro area,17.30%,2.10%,,
Alabama,Chilton County,Metro area,17.30%,2.40%,,
Kentucky,Larue County,Metro area,17.30%,3.80%,,
Washington,Asotin County,Metro area,17.30%,2.50%,,
North Carolina,Cumberland County,Metro area,17.20%,0.60%,,
Oregon,Grant County,Rural area,17.20%,3.30%,,
Alabama,Calhoun County,Metro area,17.20%,1.20%,,
Georgia,Wayne County,Small town,17.20%,2.80%,,
Tennessee,Decatur County,Rural area,17.20%,3.40%,,
Mississippi,Pike County,Small town,17.20%,2.20%,,
Mississippi,Hancock County,Metro area,17.20%,2.60%,,
Kentucky,Pulaski County,Small town,17.20%,1.60%,,
Ohio,Jefferson County,Metro area,17.20%,1.30%,,
North Carolina,McDowell County,Small town,17.20%,2.00%,,
Illinois,Kankakee County,Metro area,17.20%,1.00%,,
Mississippi,Panola County,Rural area,17.20%,2.50%,,
California,Madera County,Metro area,17.20%,1.40%,,
Alabama,Geneva County,Metro area,17.20%,2.20%,,
West Virginia,Wood County,Metro area,17.20%,1.30%,,
Virginia,Richmond County,Rural area,17.20%,4.60%,,
Arkansas,Stone County,Rural area,17.20%,4.10%,,
Tennessee,Shelby County,Metro area,17.20%,0.50%,,
Colorado,Rio Grande County,Rural area,17.20%,4.10%,,
Massachusetts,Suffolk County,Metro area,17.20%,0.50%,,
Kentucky,Garrard County,Rural area,17.10%,2.80%,,
Virginia,Waynesboro city,Metro area,17.10%,3.30%,,
Louisiana,Lincoln Parish,Small town,17.10%,2.40%,,
Michigan,Muskegon County,Metro area,17.10%,0.80%,,
Mississippi,Forrest County,Metro area,17.10%,1.60%,,
Montana,Hill County,Rural area,17.10%,2.60%,,
Mississippi,Perry County,Metro area,17.10%,3.10%,,
Missouri,Dent County,Rural area,17.10%,3.00%,,
Tennessee,Weakley County,Small town,17.10%,1.60%,,
Oklahoma,Kay County,Small town,17.10%,1.20%,,
Georgia,Long County,Metro area,17.10%,3.90%,,
Illinois,Fayette County,Rural area,17.10%,2.10%,,
Georgia,Bleckley County,Rural area,17.10%,4.10%,,
Tennessee,Monroe County,Rural area,17.10%,2.30%,,
Georgia,Jeff Davis County,Rural area,17.10%,3.40%,,
Tennessee,Anderson County,Metro area,17.10%,1.70%,,
Kentucky,Montgomery County,Small town,17.10%,2.70%,,
Georgia,Troup County,Small town,17.10%,2.00%,,
Florida,Franklin County,Rural area,17.10%,3.00%,13.90%,5.60%
Virginia,Cumberland County,Rural area,17.10%,5.30%,,
Missouri,Barton County,Rural area,17.00%,3.20%,,
Oregon,Curry County,Small town,17.00%,2.80%,,
New York,Franklin County,Small town,17.00%,2.10%,,
Texas,Tyler County,Rural area,17.00%,3.10%,,
Kentucky,Harrison County,Rural area,17.00%,3.40%,,
Maryland,Caroline County,Rural area,17.00%,1.70%,,
Louisiana,Pointe Coupee Parish,Metro area,17.00%,3.40%,,
Virginia,Smyth County,Rural area,17.00%,1.90%,,
New Mexico,De Baca County,Rural area,17.00%,6.30%,,
New York,Cattaraugus County,Small town,17.00%,1.00%,,
South Carolina,Cherokee County,Small town,16.90%,2.00%,,
Michigan,Oscoda County,Rural area,16.90%,3.00%,,
Texas,Navarro County,Small town,16.90%,2.10%,,
Wisconsin,Adams County,Rural area,16.90%,1.30%,,
North Carolina,Perquimans County,Small town,16.90%,4.20%,,
Colorado,Crowley County,Rural area,16.90%,4.20%,,
Washington,Mason County,Small town,16.90%,1.90%,,
Mississippi,Harrison County,Metro area,16.90%,1.00%,,
Tennessee,Lawrence County,Small town,16.90%,1.40%,,
Pennsylvania,McKean County,Small town,16.90%,1.50%,,
New Mexico,Otero County,Small town,16.90%,1.70%,,
South Carolina,McCormick County,Rural area,16.90%,3.40%,,
Arkansas,Howard County,Rural area,16.90%,4.10%,,
Virginia,Henry County,Small town,16.90%,1.90%,,
New York,Jefferson County,Metro area,16.90%,1.10%,,
Maine,Penobscot County,Metro area,16.80%,1.10%,,
New York,Oswego County,Metro area,16.80%,1.10%,,
Montana,Blaine County,Rural area,16.80%,2.50%,,
California,Kern County,Metro area,16.80%,0.50%,,
New York,Chenango County,Rural area,16.80%,1.50%,,
West Virginia,Barbour County,Rural area,16.80%,2.80%,,
Mississippi,Greene County,Rural area,16.80%,5.10%,,
Pennsylvania,Lackawanna County,Metro area,16.80%,0.70%,,
West Virginia,Cabell County,Metro area,16.80%,1.20%,,
Montana,Deer Lodge County,Rural area,16.80%,3.70%,,
Pennsylvania,Blair County,Metro area,16.80%,0.90%,,
Texas,Nacogdoches County,Small town,16.80%,1.80%,,
Maine,Androscoggin County,Metro area,16.80%,1.30%,,
Illinois,Crawford County,Rural area,16.70%,2.60%,,
Montana,Mineral County,Rural area,16.70%,4.00%,,
Michigan,Arenac County,Rural area,16.70%,1.40%,,
Illinois,Coles County,Small town,16.70%,2.20%,,
Arizona,Cochise County,Metro area,16.70%,1.00%,,
New Mexico,Guadalupe County,Rural area,16.70%,5.60%,,
North Carolina,Rockingham County,Metro area,16.70%,1.40%,,
Arkansas,Franklin County,Rural area,16.70%,3.20%,,
Iowa,Des Moines County,Small town,16.70%,1.80%,,
Oregon,Yamhill County,Metro area,16.70%,1.30%,,
Kentucky,Metcalfe County,Small town,16.70%,3.50%,,
Texas,Cass County,Rural area,16.70%,2.30%,,
Oklahoma,Pottawatomie County,Small town,16.70%,1.00%,,
Georgia,Wilcox County,Rural area,16.70%,3.40%,,
Colorado,Sedgwick County,Rural area,16.60%,4.40%,,
Pennsylvania,Mercer County,Metro area,16.60%,1.00%,,
Alaska,North Slope Borough,Rural area,16.60%,3.50%,,
Arkansas,Clay County,Rural area,16.60%,2.90%,,
Kentucky,Christian County,Metro area,16.60%,1.60%,,
Alabama,Henry County,Metro area,16.60%,2.50%,,
Maryland,Wicomico County,Metro area,16.60%,1.40%,,
Kentucky,Barren County,Small town,16.60%,2.00%,,
South Carolina,Fairfield County,Metro area,16.60%,3.00%,,
Alabama,Butler County,Rural area,16.60%,2.00%,,
Texas,Liberty County,Metro area,16.60%,1.50%,,
Tennessee,Obion County,Small town,16.60%,1.80%,,
Tennessee,Gibson County,Rural area,16.60%,2.20%,,
Alabama,Mobile County,Metro area,16.60%,0.70%,,
North Carolina,Martin County,Rural area,16.50%,2.30%,,
Texas,Nueces County,Metro area,16.50%,0.70%,,
Illinois,Vermilion County,Metro area,16.50%,1.10%,,
South Carolina,Greenwood County,Small town,16.50%,1.70%,,
Pennsylvania,Venango County,Small town,16.50%,1.50%,,
Kentucky,Adair County,Rural area,16.50%,3.30%,,
Michigan,Wexford County,Small town,16.50%,1.90%,,
Kentucky,Boyd County,Metro area,16.50%,1.90%,,
Louisiana,Rapides Parish,Metro area,16.50%,1.30%,,
Tennessee,Rhea County,Small town,16.50%,2.80%,,
Louisiana,Vermilion Parish,Metro area,16.50%,1.90%,,
Texas,Morris County,Rural area,16.50%,2.40%,,
Michigan,Iosco County,Rural area,16.50%,1.60%,,
New Jersey,Cumberland County,Metro area,16.50%,1.20%,,
Georgia,Talbot County,Rural area,16.50%,3.20%,,
Alabama,Talladega County,Small town,16.50%,1.60%,,
West Virginia,Marion County,Small town,16.50%,1.20%,,
West Virginia,Hancock County,Metro area,16.50%,2.30%,,
Alabama,Lawrence County,Metro area,16.50%,2.00%,,
Mississippi,Prentiss County,Rural area,16.50%,3.00%,,
Tennessee,McMinn County,Small town,16.50%,2.10%,,
Vermont,Windham County,Rural area,16.40%,1.50%,,
Tennessee,Jefferson County,Metro area,16.40%,2.10%,,
Georgia,Crawford County,Metro area,16.40%,3.60%,,
Pennsylvania,Forest County,Rural area,16.40%,3.90%,,
Mississippi,Tippah County,Rural area,16.40%,2.80%,,
Texas,Atascosa County,Metro area,16.40%,2.30%,,
Arkansas,Dallas County,Rural area,16.40%,4.70%,,
Vermont,Orleans County,Rural area,16.40%,1.40%,,
North Carolina,Nash County,Metro area,16.40%,1.30%,,
West Virginia,Upshur County,Rural area,16.40%,2.30%,,
Tennessee,Madison County,Metro area,16.40%,1.30%,,
Washington,Stevens County,Metro area,16.40%,1.50%,,
Michigan,Newaygo County,Rural area,16.40%,1.20%,,
Alabama,Cherokee County,Rural area,16.40%,2.50%,,
Mississippi,Clarke County,Small town,16.40%,2.80%,,
Arkansas,Arkansas County,Rural area,16.40%,2.40%,,
Tennessee,White County,Rural area,16.40%,2.60%,,
New York,Oneida County,Metro area,16.30%,0.70%,,
Arkansas,Ashley County,Rural area,16.30%,3.30%,,
West Virginia,Preston County,Metro area,16.30%,1.80%,,
New York,St. Lawrence County,Small town,16.30%,1.20%,,
Maine,Oxford County,Rural area,16.30%,1.30%,,
Alabama,Franklin County,Rural area,16.30%,2.30%,,
Arkansas,Ouachita County,Small town,16.30%,2.70%,,
Arkansas,Lafayette County,Rural area,16.30%,3.60%,,
Louisiana,Terrebonne Parish,Metro area,16.30%,1.60%,,
Virginia,Tazewell County,Small town,16.30%,1.90%,,
Texas,Polk County,Rural area,16.30%,1.90%,,
Washington,Ferry County,Rural area,16.30%,2.80%,,
Missouri,Hickory County,Rural area,16.30%,3.00%,,
Pennsylvania,Schuylkill County,Small town,16.30%,0.80%,,
Kentucky,Lincoln County,Small town,16.20%,2.60%,,
West Virginia,Mason County,Small town,16.20%,2.70%,,
Michigan,Crawford County,Rural area,16.20%,2.10%,,
Arkansas,Montgomery County,Rural area,16.20%,2.90%,,
Illinois,Lawrence County,Rural area,16.20%,2.90%,,
Mississippi,Lauderdale County,Small town,16.20%,1.50%,,
Louisiana,Jefferson Davis Parish,Small town,16.20%,2.50%,,
Ohio,Coshocton County,Small town,16.20%,1.90%,,
North Carolina,Caswell County,Rural area,16.20%,2.50%,,
Texas,Hall County,Rural area,16.20%,4.20%,,
Tennessee,Smith County,Metro area,16.20%,2.70%,,
Oklahoma,Cotton County,Metro area,16.20%,3.30%,,
Texas,Floyd County,Rural area,16.20%,3.20%,,
West Virginia,Gilmer County,Rural area,16.20%,4.40%,,
Alabama,Bibb County,Metro area,16.20%,3.60%,,
Kentucky,Carroll County,Rural area,16.10%,4.40%,,
California,Kings County,Metro area,16.10%,1.20%,,
Louisiana,St. Martin Parish,Metro area,16.10%,2.20%,,
Alabama,Monroe County,Rural area,16.10%,3.00%,,
Alabama,Washington County,Rural area,16.10%,3.00%,,
Pennsylvania,Potter County,Rural area,16.10%,1.60%,,
Kentucky,Owen County,Rural area,16.10%,3.10%,,
North Carolina,Franklin County,Metro area,16.10%,1.70%,,
West Virginia,Randolph County,Small town,16.00%,2.20%,,
Wisconsin,Sawyer County,Rural area,16.00%,1.80%,,
Georgia,Carroll County,Metro area,16.00%,1.50%,,
Iowa,Montgomery County,Rural area,16.00%,2.40%,,
Mississippi,Clay County,Small town,16.00%,2.80%,,
Washington,Spokane County,Metro area,16.00%,0.70%,,
North Carolina,Pasquotank County,Small town,16.00%,1.90%,,
New York,Broome County,Metro area,16.00%,0.70%,,
Oregon,Polk County,Metro area,16.00%,1.60%,,
Texas,Bee County,Small town,16.00%,3.60%,,
Virginia,Buena Vista city,Rural area,16.00%,5.00%,,
Pennsylvania,Crawford County,Small town,16.00%,1.20%,,
Arkansas,Greene County,Small town,16.00%,2.20%,,
North Carolina,Beaufort County,Small town,16.00%,1.90%,,
South Carolina,Georgetown County,Small town,16.00%,1.70%,,
Michigan,Gogebic County,Rural area,15.90%,2.20%,,
Colorado,Huerfano County,Rural area,15.90%,3.60%,,
West Virginia,Ritchie County,Rural area,15.90%,2.40%,,
Kentucky,Taylor County,Small town,15.90%,2.70%,,
Texas,Hardeman County,Rural area,15.90%,4.30%,,
Texas,San Augustine County,Rural area,15.90%,3.40%,,
Tennessee,Hamblen County,Metro area,15.90%,2.10%,,
Georgia,Morgan County,Metro area,15.90%,3.00%,,
South Carolina,Union County,Metro area,15.90%,2.10%,,
Kentucky,Jessamine County,Metro area,15.90%,2.00%,,
New Mexico,Taos County,Small town,15.90%,2.40%,,
Missouri,Lawrence County,Rural area,15.90%,1.90%,,
Florida,Jefferson County,Metro area,15.90%,3.10%,,
Georgia,Hart County,Rural area,15.90%,2.90%,,
Pennsylvania,Lycoming County,Metro area,15.90%,1.40%,,
Missouri,St. Francois County,Small town,15.90%,1.60%,,
Georgia,Glynn County,Metro area,15.80%,1.50%,,
Tennessee,Macon County,Metro area,15.80%,2.50%,,
Texas,Goliad County,Metro area,15.80%,5.00%,,
Illinois,Morgan County,Small town,15.80%,2.00%,,
South Carolina,Jasper County,Metro area,15.80%,3.40%,,
Louisiana,Concordia Parish,Small town,15.80%,3.40%,,
Kentucky,Breckinridge County,Rural area,15.80%,2.60%,,
West Virginia,Kanawha County,Metro area,15.80%,1.10%,,
Oklahoma,Caddo County,Rural area,15.80%,1.60%,,
Wisconsin,Forest County,Rural area,15.80%,2.00%,,
Wisconsin,Rock County,Metro area,15.80%,1.00%,,
Tennessee,DeKalb County,Rural area,15.80%,2.90%,,
Kentucky,Russell County,Rural area,15.80%,2.50%,,
Texas,Gray County,Small town,15.80%,2.50%,,
California,Colusa County,Rural area,15.80%,2.60%,,
Alabama,Marion County,Rural area,15.80%,2.50%,,
Delaware,Kent County,Metro area,15.80%,1.00%,,
Louisiana,Catahoula Parish,Rural area,15.80%,4.10%,,
New Mexico,Bernalillo County,Metro area,15.80%,0.50%,,
Oklahoma,Coal County,Rural area,15.80%,2.30%,,
Idaho,Owyhee County,Metro area,15.80%,2.60%,,
Illinois,White County,Rural area,15.80%,2.80%,,
Virginia,Surry County,Rural area,15.80%,3.60%,,
Tennessee,Hickman County,Metro area,15.70%,2.50%,,
Texas,Lamar County,Small town,15.70%,1.60%,,
Texas,Titus County,Small town,15.70%,2.00%,,
Kentucky,Webster County,Rural area,15.70%,3.00%,,
Illinois,Richland County,Rural area,15.70%,2.50%,,
Michigan,Baraga County,Rural area,15.70%,2.50%,,
South Carolina,Edgefield County,Metro area,15.70%,2.30%,,
Arizona,La Paz County,Rural area,15.70%,3.40%,,
Alabama,Escambia County,Small town,15.70%,2.00%,,
Alaska,Hoonah-Angoon Census Area,Rural area,15.70%,3.00%,,
Pennsylvania,Armstrong County,Metro area,15.70%,1.10%,,
Iowa,Cass County,Rural area,15.60%,2.30%,,
North Carolina,Surry County,Small town,15.60%,1.10%,,
Texas,Cochran County,Rural area,15.60%,4.30%,,
Colorado,Saguache County,Rural area,15.60%,4.10%,,
Illinois,St. Clair County,Metro area,15.60%,0.70%,,
Oregon,Wheeler County,Rural area,15.60%,5.10%,,
Arizona,Gila County,Small town,15.60%,1.70%,,
Virginia,Northampton County,Rural area,15.60%,3.00%,,
Texas,Potter County,Metro area,15.60%,1.20%,,
Mississippi,Lowndes County,Small town,15.60%,2.10%,,
Tennessee,Cannon County,Metro area,15.60%,3.10%,,
New York,Allegany County,Rural area,15.60%,1.20%,,
Georgia,Upson County,Small town,15.60%,2.50%,,
Colorado,Prowers County,Rural area,15.60%,3.20%,,
Michigan,Alpena County,Small town,15.60%,1.70%,,
Tennessee,Tipton County,Metro area,15.60%,1.60%,,
Alabama,Walker County,Metro area,15.60%,1.50%,,
Missouri,Carter County,Rural area,15.60%,4.00%,,
Louisiana,Winn Parish,Rural area,15.60%,2.80%,,
Michigan,Otsego County,Rural area,15.60%,2.00%,,
Florida,Baker County,Metro area,15.60%,3.00%,,
Illinois,Fulton County,Small town,15.60%,1.80%,,
Illinois,Christian County,Small town,15.50%,2.10%,,
Wisconsin,Iron County,Rural area,15.50%,2.00%,,
Alabama,Chambers County,Small town,15.50%,2.00%,,
Illinois,Ford County,Metro area,15.50%,2.70%,,
Kentucky,McLean County,Metro area,15.50%,3.00%,,
Louisiana,Red River Parish,Rural area,15.50%,5.00%,,
Montana,Musselshell County,Rural area,15.50%,4.40%,,
Oregon,Clatsop County,Small town,15.50%,1.70%,,
Illinois,Edgar County,Rural area,15.50%,2.30%,,
Alaska,Wrangell City and Borough,Rural area,15.50%,4.40%,,
Montana,Silver Bow County,Small town,15.50%,2.40%,,
Mississippi,Warren County,Small town,15.50%,1.80%,,
Alabama,Crenshaw County,Rural area,15.50%,2.90%,,
North Carolina,Lee County,Small town,15.50%,1.70%,,
California,Sierra County,Rural area,15.50%,6.70%,,
Iowa,Clarke County,Rural area,15.50%,4.40%,,
Florida,Marion County,Metro area,15.50%,0.70%,,
Georgia,Bulloch County,Small town,15.40%,1.90%,,
Iowa,Lee County,Small town,15.40%,1.70%,,
Iowa,Mahaska County,Small town,15.40%,2.30%,,
Georgia,Bacon County,Rural area,15.40%,3.80%,,
Alabama,Randolph County,Rural area,15.40%,2.90%,,
New Mexico,Lea County,Small town,15.40%,1.60%,,
Georgia,Lanier County,Metro area,15.40%,4.00%,,
New York,Erie County,Metro area,15.40%,0.40%,,
Massachusetts,Bristol County,Metro area,15.40%,0.60%,,
Pennsylvania,Mifflin County,Small town,15.40%,1.60%,,
Texas,San Patricio County,Metro area,15.40%,1.50%,,
Texas,Jefferson County,Metro area,15.40%,0.80%,,
New Mexico,Quay County,Rural area,15.40%,4.10%,,
Texas,Foard County,Rural area,15.40%,6.00%,,
Montana,Powell County,Rural area,15.40%,4.90%,,
Oregon,Sherman County,Rural area,15.40%,3.70%,,
Oregon,Multnomah County,Metro area,15.40%,0.40%,,
Texas,Garza County,Rural area,15.40%,7.00%,,
Maine,Kennebec County,Small town,15.40%,1.00%,,
Arkansas,Lawrence County,Rural area,15.30%,2.30%,,
Pennsylvania,Jefferson County,Rural area,15.30%,1.00%,,
New York,Orleans County,Metro area,15.30%,2.00%,,
Wisconsin,Racine County,Metro area,15.30%,1.00%,,
Ohio,Harrison County,Rural area,15.30%,2.50%,,
Michigan,Osceola County,Rural area,15.30%,1.50%,,
Virginia,Craig County,Metro area,15.30%,6.00%,,
Missouri,Bollinger County,Metro area,15.30%,2.60%,,
Michigan,Schoolcraft County,Rural area,15.30%,3.00%,,
Arkansas,Randolph County,Rural area,15.30%,2.30%,,
Maryland,Washington County,Metro area,15.30%,1.10%,,
Florida,Orange County,Metro area,15.30%,0.40%,,
Vermont,Caledonia County,Rural area,15.30%,2.00%,,
Alabama,Pike County,Small town,15.30%,2.50%,,
New York,Chemung County,Metro area,15.30%,1.40%,,
Michigan,Bay County,Metro area,15.20%,1.10%,,
Kentucky,Greenup County,Metro area,15.20%,2.00%,,
Tennessee,Perry County,Rural area,15.20%,3.60%,,
Michigan,Luce County,Rural area,15.20%,3.40%,,
North Carolina,Davidson County,Metro area,15.20%,1.00%,,
North Carolina,Yancey County,Rural area,15.20%,2.80%,,
Texas,Dawson County,Small town,15.20%,3.30%,,
West Virginia,Greenbrier County,Rural area,15.20%,2.00%,,
Tennessee,Bradley County,Metro area,15.20%,1.20%,,
Mississippi,Jones County,Small town,15.20%,1.90%,,
Georgia,Glascock County,Rural area,15.20%,4.30%,,
Mississippi,Pearl River County,Small town,15.10%,2.40%,,
Texas,Gregg County,Metro area,15.10%,1.20%,,
New York,Monroe County,Metro area,15.10%,0.50%,,
Texas,San Jacinto County,Rural area,15.10%,2.90%,,
Kentucky,Mason County,Small town,15.10%,2.90%,,
North Carolina,Gaston County,Metro area,15.10%,0.80%,,
Michigan,Chippewa County,Small town,15.10%,2.30%,,
South Carolina,Calhoun County,Metro area,15.10%,3.20%,,
Florida,Duval County,Metro area,15.10%,0.40%,,
Pennsylvania,Clarion County,Rural area,15.10%,1.30%,,
Virginia,Richmond city,Metro area,15.10%,0.70%,,
Ohio,Richland County,Metro area,15.10%,1.10%,,
Texas,Cherokee County,Small town,15.10%,1.90%,,
Virginia,Sussex County,Metro area,15.10%,3.50%,,
New York,Herkimer County,Metro area,15.10%,1.30%,,
New York,Delaware County,Rural area,15.10%,1.70%,,
Oklahoma,Hughes County,Rural area,15.00%,2.00%,,
Illinois,Montgomery County,Rural area,15.00%,1.70%,,
Tennessee,Roane County,Metro area,15.00%,2.20%,,
New Jersey,Hudson County,Metro area,15.00%,0.50%,,
Kentucky,Caldwell County,Rural area,15.00%,3.80%,,
Missouri,Crawford County,Rural area,15.00%,1.80%,,
